time,mA,pA,mB,pB
0,5,2,5,2
0.001,4.99,2.003,4.99,2.003
0.002,4.98,2.006,4.98,2.006
0.003,4.9701,2.0089,4.9701,2.0089
0.004,4.9602,2.0119,4.9602,2.0119
0.005,4.9503,2.0148,4.9503,2.0148
0.006,4.9404,2.0178,4.9404,2.0178
0.007,4.9305,2.0207,4.9305,2.0207
0.008,4.9206,2.0236,4.9206,2.0236
0.009,4.9108,2.0265,4.9108,2.0265
0.01,4.901,2.0294,4.901,2.0294
0.011,4.8912,2.0322,4.8912,2.0322
0.012,4.8814,2.0351,4.8814,2.0351
0.013,4.8717,2.0379,4.8717,2.0379
0.014,4.862,2.0407,4.862,2.0407
0.015,4.8522,2.0436,4.8522,2.0436
0.016,4.8425,2.0464,4.8425,2.0464
0.017,4.8329,2.0491,4.8329,2.0491
0.018,4.8232,2.0519,4.8232,2.0519
0.019,4.8136,2.0547,4.8136,2.0547
0.02,4.804,2.0574,4.804,2.0574
0.021,4.7944,2.0602,4.7944,2.0602
0.022,4.7848,2.0629,4.7848,2.0629
0.023,4.7752,2.0656,4.7752,2.0656
0.024,4.7657,2.0683,4.7657,2.0683
0.025,4.7562,2.071,4.7562,2.071
0.026,4.7467,2.0737,4.7467,2.0737
0.027,4.7372,2.0764,4.7372,2.0764
0.028,4.7277,2.079,4.7277,2.079
0.029,4.7183,2.0817,4.7183,2.0817
0.03,4.7088,2.0843,4.7088,2.0843
0.031,4.6994,2.0869,4.6994,2.0869
0.032,4.69,2.0895,4.69,2.0895
0.033,4.6807,2.0921,4.6807,2.0921
0.034,4.6713,2.0947,4.6713,2.0947
0.035,4.662,2.0973,4.662,2.0973
0.036,4.6527,2.0998,4.6527,2.0998
0.037,4.6434,2.1024,4.6434,2.1024
0.038,4.6341,2.1049,4.6341,2.1049
0.039,4.6249,2.1074,4.6249,2.1074
0.04,4.6156,2.1099,4.6156,2.1099
0.041,4.6064,2.1124,4.6064,2.1124
0.042,4.5972,2.1149,4.5972,2.1149
0.043,4.588,2.1174,4.588,2.1174
0.044,4.5788,2.1199,4.5788,2.1199
0.045,4.5697,2.1223,4.5697,2.1223
0.046,4.5606,2.1248,4.5606,2.1248
0.047,4.5514,2.1272,4.5514,2.1272
0.048,4.5424,2.1296,4.5424,2.1296
0.049,4.5333,2.132,4.5333,2.132
0.05,4.5242,2.1344,4.5242,2.1344
0.051,4.5152,2.1368,4.5152,2.1368
0.052,4.5062,2.1392,4.5062,2.1392
0.053,4.4972,2.1415,4.4972,2.1415
0.054,4.4882,2.1439,4.4882,2.1439
0.055,4.4792,2.1462,4.4792,2.1462
0.056,4.4703,2.1486,4.4703,2.1486
0.057,4.4613,2.1509,4.4613,2.1509
0.058,4.4524,2.1532,4.4524,2.1532
0.059,4.4435,2.1555,4.4435,2.1555
0.06,4.4346,2.1578,4.4346,2.1578
0.061,4.4258,2.16,4.4258,2.16
0.062,4.4169,2.1623,4.4169,2.1623
0.063,4.4081,2.1645,4.4081,2.1645
0.064,4.3993,2.1668,4.3993,2.1668
0.065,4.3905,2.169,4.3905,2.169
0.066,4.3817,2.1712,4.3817,2.1712
0.067,4.373,2.1734,4.373,2.1734
0.068,4.3643,2.1756,4.3643,2.1756
0.069,4.3555,2.1778,4.3555,2.1778
0.07,4.3468,2.18,4.3468,2.18
0.071,4.3381,2.1821,4.3381,2.1821
0.072,4.3295,2.1843,4.3295,2.1843
0.073,4.3208,2.1864,4.3208,2.1864
0.074,4.3122,2.1886,4.3122,2.1886
0.075,4.3036,2.1907,4.3036,2.1907
0.076,4.295,2.1928,4.295,2.1928
0.077,4.2864,2.1949,4.2864,2.1949
0.078,4.2778,2.197,4.2778,2.197
0.079,4.2693,2.199,4.2693,2.199
0.08,4.2608,2.2011,4.2608,2.2011
0.081,4.2522,2.2032,4.2522,2.2032
0.082,4.2438,2.2052,4.2438,2.2052
0.083,4.2353,2.2072,4.2353,2.2072
0.084,4.2268,2.2093,4.2268,2.2093
0.085,4.2184,2.2113,4.2184,2.2113
0.086,4.2099,2.2133,4.2099,2.2133
0.087,4.2015,2.2153,4.2015,2.2153
0.088,4.1931,2.2172,4.1931,2.2172
0.089,4.1848,2.2192,4.1848,2.2192
0.09,4.1764,2.2212,4.1764,2.2212
0.091,4.1681,2.2231,4.1681,2.2231
0.092,4.1597,2.2251,4.1597,2.2251
0.093,4.1514,2.227,4.1514,2.227
0.094,4.1431,2.2289,4.1431,2.2289
0.095,4.1348,2.2308,4.1348,2.2308
0.096,4.1266,2.2327,4.1266,2.2327
0.097,4.1183,2.2346,4.1183,2.2346
0.098,4.1101,2.2365,4.1101,2.2365
0.099,4.1019,2.2384,4.1019,2.2384
0.1,4.0937,2.2402,4.0937,2.2402
0.101,4.0855,2.2421,4.0855,2.2421
0.102,4.0774,2.2439,4.0774,2.2439
0.103,4.0692,2.2457,4.0692,2.2457
0.104,4.0611,2.2475,4.0611,2.2475
0.105,4.053,2.2494,4.053,2.2494
0.106,4.0449,2.2512,4.0449,2.2512
0.107,4.0368,2.2529,4.0368,2.2529
0.108,4.0287,2.2547,4.0287,2.2547
0.109,4.0207,2.2565,4.0207,2.2565
0.11,4.0126,2.2583,4.0126,2.2583
0.111,4.0046,2.26,4.0046,2.26
0.112,3.9966,2.2617,3.9966,2.2617
0.113,3.9886,2.2635,3.9886,2.2635
0.114,3.9807,2.2652,3.9807,2.2652
0.115,3.9727,2.2669,3.9727,2.2669
0.116,3.9648,2.2686,3.9648,2.2686
0.117,3.9569,2.2703,3.9569,2.2703
0.118,3.949,2.272,3.949,2.272
0.119,3.9411,2.2736,3.9411,2.2736
0.12,3.9332,2.2753,3.9332,2.2753
0.121,3.9253,2.277,3.9253,2.277
0.122,3.9175,2.2786,3.9175,2.2786
0.123,3.9097,2.2802,3.9097,2.2802
0.124,3.9019,2.2819,3.9019,2.2819
0.125,3.8941,2.2835,3.8941,2.2835
0.126,3.8863,2.2851,3.8863,2.2851
0.127,3.8785,2.2867,3.8785,2.2867
0.128,3.8708,2.2883,3.8708,2.2883
0.129,3.863,2.2898,3.863,2.2898
0.13,3.8553,2.2914,3.8553,2.2914
0.131,3.8476,2.293,3.8476,2.293
0.132,3.8399,2.2945,3.8399,2.2945
0.133,3.8322,2.2961,3.8322,2.2961
0.134,3.8246,2.2976,3.8246,2.2976
0.135,3.817,2.2991,3.817,2.2991
0.136,3.8093,2.3006,3.8093,2.3006
0.137,3.8017,2.3021,3.8017,2.3021
0.138,3.7941,2.3036,3.7941,2.3036
0.139,3.7865,2.3051,3.7865,2.3051
0.14,3.779,2.3066,3.779,2.3066
0.141,3.7714,2.3081,3.7714,2.3081
0.142,3.7639,2.3095,3.7639,2.3095
0.143,3.7564,2.311,3.7564,2.311
0.144,3.7489,2.3124,3.7489,2.3124
0.145,3.7414,2.3138,3.7414,2.3138
0.146,3.7339,2.3153,3.7339,2.3153
0.147,3.7264,2.3167,3.7264,2.3167
0.148,3.719,2.3181,3.719,2.3181
0.149,3.7116,2.3195,3.7116,2.3195
0.15,3.7041,2.3209,3.7041,2.3209
0.151,3.6967,2.3222,3.6967,2.3222
0.152,3.6894,2.3236,3.6894,2.3236
0.153,3.682,2.325,3.682,2.325
0.154,3.6746,2.3263,3.6746,2.3263
0.155,3.6673,2.3277,3.6673,2.3277
0.156,3.66,2.329,3.66,2.329
0.157,3.6527,2.3303,3.6527,2.3303
0.158,3.6454,2.3317,3.6454,2.3317
0.159,3.6381,2.333,3.6381,2.333
0.16,3.6308,2.3343,3.6308,2.3343
0.161,3.6235,2.3356,3.6235,2.3356
0.162,3.6163,2.3368,3.6163,2.3368
0.163,3.6091,2.3381,3.6091,2.3381
0.164,3.6019,2.3394,3.6019,2.3394
0.165,3.5947,2.3407,3.5947,2.3407
0.166,3.5875,2.3419,3.5875,2.3419
0.167,3.5803,2.3431,3.5803,2.3431
0.168,3.5732,2.3444,3.5732,2.3444
0.169,3.566,2.3456,3.566,2.3456
0.17,3.5589,2.3468,3.5589,2.3468
0.171,3.5518,2.348,3.5518,2.348
0.172,3.5447,2.3492,3.5447,2.3492
0.173,3.5376,2.3504,3.5376,2.3504
0.174,3.5305,2.3516,3.5305,2.3516
0.175,3.5235,2.3528,3.5235,2.3528
0.176,3.5164,2.354,3.5164,2.354
0.177,3.5094,2.3551,3.5094,2.3551
0.178,3.5024,2.3563,3.5024,2.3563
0.179,3.4954,2.3574,3.4954,2.3574
0.18,3.4884,2.3586,3.4884,2.3586
0.181,3.4814,2.3597,3.4814,2.3597
0.182,3.4745,2.3608,3.4745,2.3608
0.183,3.4675,2.3619,3.4675,2.3619
0.184,3.4606,2.363,3.4606,2.363
0.185,3.4537,2.3641,3.4537,2.3641
0.186,3.4468,2.3652,3.4468,2.3652
0.187,3.4399,2.3663,3.4399,2.3663
0.188,3.433,2.3674,3.433,2.3674
0.189,3.4261,2.3684,3.4261,2.3684
0.19,3.4193,2.3695,3.4193,2.3695
0.191,3.4124,2.3706,3.4124,2.3706
0.192,3.4056,2.3716,3.4056,2.3716
0.193,3.3988,2.3726,3.3988,2.3726
0.194,3.392,2.3737,3.392,2.3737
0.195,3.3852,2.3747,3.3852,2.3747
0.196,3.3785,2.3757,3.3785,2.3757
0.197,3.3717,2.3767,3.3717,2.3767
0.198,3.365,2.3777,3.365,2.3777
0.199,3.3582,2.3787,3.3582,2.3787
0.2,3.3515,2.3797,3.3515,2.3797
0.201,3.3448,2.3806,3.3448,2.3806
0.202,3.3381,2.3816,3.3381,2.3816
0.203,3.3314,2.3826,3.3314,2.3826
0.204,3.3248,2.3835,3.3248,2.3835
0.205,3.3181,2.3845,3.3181,2.3845
0.206,3.3115,2.3854,3.3115,2.3854
0.207,3.3049,2.3863,3.3049,2.3863
0.208,3.2983,2.3872,3.2983,2.3872
0.209,3.2917,2.3882,3.2917,2.3882
0.21,3.2851,2.3891,3.2851,2.3891
0.211,3.2785,2.39,3.2785,2.39
0.212,3.272,2.3908,3.272,2.3908
0.213,3.2654,2.3917,3.2654,2.3917
0.214,3.2589,2.3926,3.2589,2.3926
0.215,3.2524,2.3935,3.2524,2.3935
0.216,3.2459,2.3943,3.2459,2.3943
0.217,3.2394,2.3952,3.2394,2.3952
0.218,3.2329,2.396,3.2329,2.396
0.219,3.2264,2.3969,3.2264,2.3969
0.22,3.22,2.3977,3.22,2.3977
0.221,3.2135,2.3985,3.2135,2.3985
0.222,3.2071,2.3994,3.2071,2.3994
0.223,3.2007,2.4002,3.2007,2.4002
0.224,3.1943,2.401,3.1943,2.401
0.225,3.1879,2.4018,3.1879,2.4018
0.226,3.1815,2.4026,3.1815,2.4026
0.227,3.1752,2.4033,3.1752,2.4033
0.228,3.1688,2.4041,3.1688,2.4041
0.229,3.1625,2.4049,3.1625,2.4049
0.23,3.1562,2.4056,3.1562,2.4056
0.231,3.1498,2.4064,3.1498,2.4064
0.232,3.1435,2.4071,3.1435,2.4071
0.233,3.1373,2.4079,3.1373,2.4079
0.234,3.131,2.4086,3.131,2.4086
0.235,3.1247,2.4093,3.1247,2.4093
0.236,3.1185,2.4101,3.1185,2.4101
0.237,3.1122,2.4108,3.1122,2.4108
0.238,3.106,2.4115,3.106,2.4115
0.239,3.0998,2.4122,3.0998,2.4122
0.24,3.0936,2.4129,3.0936,2.4129
0.241,3.0874,2.4135,3.0874,2.4135
0.242,3.0812,2.4142,3.0812,2.4142
0.243,3.0751,2.4149,3.0751,2.4149
0.244,3.0689,2.4156,3.0689,2.4156
0.245,3.0628,2.4162,3.0628,2.4162
0.246,3.0567,2.4169,3.0567,2.4169
0.247,3.0505,2.4175,3.0505,2.4175
0.248,3.0444,2.4181,3.0444,2.4181
0.249,3.0384,2.4188,3.0384,2.4188
0.25,3.0323,2.4194,3.0323,2.4194
0.251,3.0262,2.42,3.0262,2.42
0.252,3.0202,2.4206,3.0202,2.4206
0.253,3.0141,2.4212,3.0141,2.4212
0.254,3.0081,2.4218,3.0081,2.4218
0.255,3.0021,2.4224,3.0021,2.4224
0.256,2.9961,2.423,2.9961,2.423
0.257,2.9901,2.4236,2.9901,2.4236
0.258,2.9841,2.4241,2.9841,2.4241
0.259,2.9781,2.4247,2.9781,2.4247
0.26,2.9722,2.4252,2.9722,2.4252
0.261,2.9662,2.4258,2.9662,2.4258
0.262,2.9603,2.4263,2.9603,2.4263
0.263,2.9544,2.4269,2.9544,2.4269
0.264,2.9485,2.4274,2.9485,2.4274
0.265,2.9426,2.4279,2.9426,2.4279
0.266,2.9367,2.4284,2.9367,2.4284
0.267,2.9308,2.429,2.9308,2.429
0.268,2.925,2.4295,2.925,2.4295
0.269,2.9191,2.43,2.9191,2.43
0.27,2.9133,2.4304,2.9133,2.4304
0.271,2.9074,2.4309,2.9074,2.4309
0.272,2.9016,2.4314,2.9016,2.4314
0.273,2.8958,2.4319,2.8958,2.4319
0.274,2.89,2.4323,2.89,2.4323
0.275,2.8843,2.4328,2.8843,2.4328
0.276,2.8785,2.4333,2.8785,2.4333
0.277,2.8727,2.4337,2.8727,2.4337
0.278,2.867,2.4341,2.867,2.4341
0.279,2.8613,2.4346,2.8613,2.4346
0.28,2.8555,2.435,2.8555,2.435
0.281,2.8498,2.4354,2.8498,2.4354
0.282,2.8441,2.4358,2.8441,2.4358
0.283,2.8384,2.4363,2.8384,2.4363
0.284,2.8328,2.4367,2.8328,2.4367
0.285,2.8271,2.4371,2.8271,2.4371
0.286,2.8214,2.4374,2.8214,2.4374
0.287,2.8158,2.4378,2.8158,2.4378
0.288,2.8102,2.4382,2.8102,2.4382
0.289,2.8046,2.4386,2.8046,2.4386
0.29,2.7989,2.4389,2.7989,2.4389
0.291,2.7934,2.4393,2.7934,2.4393
0.292,2.7878,2.4397,2.7878,2.4397
0.293,2.7822,2.44,2.7822,2.44
0.294,2.7766,2.4404,2.7766,2.4404
0.295,2.7711,2.4407,2.7711,2.4407
0.296,2.7655,2.441,2.7655,2.441
0.297,2.76,2.4413,2.76,2.4413
0.298,2.7545,2.4417,2.7545,2.4417
0.299,2.749,2.442,2.749,2.442
0.3,2.7435,2.4423,2.7435,2.4423
0.301,2.738,2.4426,2.738,2.4426
0.302,2.7325,2.4429,2.7325,2.4429
0.303,2.7271,2.4432,2.7271,2.4432
0.304,2.7216,2.4435,2.7216,2.4435
0.305,2.7162,2.4437,2.7162,2.4437
0.306,2.7108,2.444,2.7108,2.444
0.307,2.7053,2.4443,2.7053,2.4443
0.308,2.6999,2.4445,2.6999,2.4445
0.309,2.6945,2.4448,2.6945,2.4448
0.31,2.6891,2.445,2.6891,2.445
0.311,2.6838,2.4453,2.6838,2.4453
0.312,2.6784,2.4455,2.6784,2.4455
0.313,2.6731,2.4457,2.6731,2.4457
0.314,2.6677,2.446,2.6677,2.446
0.315,2.6624,2.4462,2.6624,2.4462
0.316,2.6571,2.4464,2.6571,2.4464
0.317,2.6518,2.4466,2.6518,2.4466
0.318,2.6465,2.4468,2.6465,2.4468
0.319,2.6412,2.447,2.6412,2.447
0.32,2.6359,2.4472,2.6359,2.4472
0.321,2.6306,2.4474,2.6306,2.4474
0.322,2.6254,2.4476,2.6254,2.4476
0.323,2.6201,2.4478,2.6201,2.4478
0.324,2.6149,2.4479,2.6149,2.4479
0.325,2.6097,2.4481,2.6097,2.4481
0.326,2.6044,2.4482,2.6044,2.4482
0.327,2.5992,2.4484,2.5992,2.4484
0.328,2.594,2.4486,2.594,2.4486
0.329,2.5889,2.4487,2.5889,2.4487
0.33,2.5837,2.4488,2.5837,2.4488
0.331,2.5785,2.449,2.5785,2.449
0.332,2.5734,2.4491,2.5734,2.4491
0.333,2.5682,2.4492,2.5682,2.4492
0.334,2.5631,2.4493,2.5631,2.4493
0.335,2.558,2.4494,2.558,2.4494
0.336,2.5529,2.4495,2.5529,2.4495
0.337,2.5478,2.4496,2.5478,2.4496
0.338,2.5427,2.4497,2.5427,2.4497
0.339,2.5376,2.4498,2.5376,2.4498
0.34,2.5325,2.4499,2.5325,2.4499
0.341,2.5275,2.45,2.5275,2.45
0.342,2.5224,2.4501,2.5224,2.4501
0.343,2.5174,2.4501,2.5174,2.4501
0.344,2.5124,2.4502,2.5124,2.4502
0.345,2.5073,2.4503,2.5073,2.4503
0.346,2.5023,2.4503,2.5023,2.4503
0.347,2.4973,2.4504,2.4973,2.4504
0.348,2.4923,2.4504,2.4923,2.4504
0.349,2.4874,2.4504,2.4874,2.4504
0.35,2.4824,2.4505,2.4824,2.4505
0.351,2.4774,2.4505,2.4774,2.4505
0.352,2.4725,2.4505,2.4725,2.4505
0.353,2.4676,2.4505,2.4676,2.4505
0.354,2.4626,2.4506,2.4626,2.4506
0.355,2.4577,2.4506,2.4577,2.4506
0.356,2.4528,2.4506,2.4528,2.4506
0.357,2.4479,2.4506,2.4479,2.4506
0.358,2.443,2.4506,2.443,2.4506
0.359,2.4381,2.4505,2.4381,2.4505
0.36,2.4333,2.4505,2.4333,2.4505
0.361,2.4284,2.4505,2.4284,2.4505
0.362,2.4236,2.4505,2.4236,2.4505
0.363,2.4187,2.4504,2.4187,2.4504
0.364,2.4139,2.4504,2.4139,2.4504
0.365,2.4091,2.4504,2.4091,2.4504
0.366,2.4043,2.4503,2.4043,2.4503
0.367,2.3995,2.4503,2.3995,2.4503
0.368,2.3947,2.4502,2.3947,2.4502
0.369,2.3899,2.4502,2.3899,2.4502
0.37,2.3851,2.4501,2.3851,2.4501
0.371,2.3804,2.45,2.3804,2.45
0.372,2.3756,2.4499,2.3756,2.4499
0.373,2.3709,2.4499,2.3709,2.4499
0.374,2.3661,2.4498,2.3661,2.4498
0.375,2.3614,2.4497,2.3614,2.4497
0.376,2.3567,2.4496,2.3567,2.4496
0.377,2.352,2.4495,2.352,2.4495
0.378,2.3473,2.4494,2.3473,2.4494
0.379,2.3426,2.4493,2.3426,2.4493
0.38,2.3379,2.4492,2.3379,2.4492
0.381,2.3333,2.449,2.3333,2.449
0.382,2.3286,2.4489,2.3286,2.4489
0.383,2.324,2.4488,2.324,2.4488
0.384,2.3193,2.4487,2.3193,2.4487
0.385,2.3147,2.4485,2.3147,2.4485
0.386,2.3101,2.4484,2.3101,2.4484
0.387,2.3055,2.4482,2.3055,2.4482
0.388,2.3009,2.4481,2.3009,2.4481
0.389,2.2963,2.4479,2.2963,2.4479
0.39,2.2917,2.4478,2.2917,2.4478
0.391,2.2871,2.4476,2.2871,2.4476
0.392,2.2825,2.4475,2.2825,2.4475
0.393,2.278,2.4473,2.278,2.4473
0.394,2.2734,2.4471,2.2734,2.4471
0.395,2.2689,2.4469,2.2689,2.4469
0.396,2.2644,2.4467,2.2644,2.4467
0.397,2.2599,2.4465,2.2599,2.4465
0.398,2.2553,2.4464,2.2553,2.4464
0.399,2.2508,2.4462,2.2508,2.4462
0.4,2.2464,2.446,2.2464,2.446
0.401,2.2419,2.4457,2.2419,2.4457
0.402,2.2374,2.4455,2.2374,2.4455
0.403,2.2329,2.4453,2.2329,2.4453
0.404,2.2285,2.4451,2.2285,2.4451
0.405,2.224,2.4449,2.224,2.4449
0.406,2.2196,2.4446,2.2196,2.4446
0.407,2.2152,2.4444,2.2152,2.4444
0.408,2.2107,2.4442,2.2107,2.4442
0.409,2.2063,2.4439,2.2063,2.4439
0.41,2.2019,2.4437,2.2019,2.4437
0.411,2.1975,2.4434,2.1975,2.4434
0.412,2.1931,2.4432,2.1931,2.4432
0.413,2.1888,2.4429,2.1888,2.4429
0.414,2.1844,2.4427,2.1844,2.4427
0.415,2.18,2.4424,2.18,2.4424
0.416,2.1757,2.4421,2.1757,2.4421
0.417,2.1714,2.4419,2.1714,2.4419
0.418,2.167,2.4416,2.167,2.4416
0.419,2.1627,2.4413,2.1627,2.4413
0.42,2.1584,2.441,2.1584,2.441
0.421,2.1541,2.4407,2.1541,2.4407
0.422,2.1498,2.4404,2.1498,2.4404
0.423,2.1455,2.4401,2.1455,2.4401
0.424,2.1412,2.4398,2.1412,2.4398
0.425,2.1369,2.4395,2.1369,2.4395
0.426,2.1327,2.4392,2.1327,2.4392
0.427,2.1284,2.4389,2.1284,2.4389
0.428,2.1242,2.4386,2.1242,2.4386
0.429,2.1199,2.4383,2.1199,2.4383
0.43,2.1157,2.4379,2.1157,2.4379
0.431,2.1115,2.4376,2.1115,2.4376
0.432,2.1073,2.4373,2.1073,2.4373
0.433,2.1031,2.4369,2.1031,2.4369
0.434,2.0989,2.4366,2.0989,2.4366
0.435,2.0947,2.4362,2.0947,2.4362
0.436,2.0905,2.4359,2.0905,2.4359
0.437,2.0863,2.4355,2.0863,2.4355
0.438,2.0822,2.4352,2.0822,2.4352
0.439,2.078,2.4348,2.078,2.4348
0.44,2.0739,2.4344,2.0739,2.4344
0.441,2.0697,2.4341,2.0697,2.4341
0.442,2.0656,2.4337,2.0656,2.4337
0.443,2.0615,2.4333,2.0615,2.4333
0.444,2.0574,2.433,2.0574,2.433
0.445,2.0533,2.4326,2.0533,2.4326
0.446,2.0492,2.4322,2.0492,2.4322
0.447,2.0451,2.4318,2.0451,2.4318
0.448,2.041,2.4314,2.041,2.4314
0.449,2.0369,2.431,2.0369,2.431
0.45,2.0329,2.4306,2.0329,2.4306
0.451,2.0288,2.4302,2.0288,2.4302
0.452,2.0248,2.4298,2.0248,2.4298
0.453,2.0207,2.4294,2.0207,2.4294
0.454,2.0167,2.429,2.0167,2.429
0.455,2.0127,2.4285,2.0127,2.4285
0.456,2.0087,2.4281,2.0087,2.4281
0.457,2.0047,2.4277,2.0047,2.4277
0.458,2.0007,2.4273,2.0007,2.4273
0.459,1.9967,2.4268,1.9967,2.4268
0.46,1.9927,2.4264,1.9927,2.4264
0.461,1.9887,2.4259,1.9887,2.4259
0.462,1.9847,2.4255,1.9847,2.4255
0.463,1.9808,2.425,1.9808,2.425
0.464,1.9768,2.4246,1.9768,2.4246
0.465,1.9729,2.4241,1.9729,2.4241
0.466,1.969,2.4237,1.969,2.4237
0.467,1.965,2.4232,1.965,2.4232
0.468,1.9611,2.4228,1.9611,2.4228
0.469,1.9572,2.4223,1.9572,2.4223
0.47,1.9533,2.4218,1.9533,2.4218
0.471,1.9494,2.4213,1.9494,2.4213
0.472,1.9455,2.4209,1.9455,2.4209
0.473,1.9416,2.4204,1.9416,2.4204
0.474,1.9377,2.4199,1.9377,2.4199
0.475,1.9339,2.4194,1.9339,2.4194
0.476,1.93,2.4189,1.93,2.4189
0.477,1.9262,2.4184,1.9262,2.4184
0.478,1.9223,2.4179,1.9223,2.4179
0.479,1.9185,2.4174,1.9185,2.4174
0.48,1.9147,2.4169,1.9147,2.4169
0.481,1.9108,2.4164,1.9108,2.4164
0.482,1.907,2.4159,1.907,2.4159
0.483,1.9032,2.4154,1.9032,2.4154
0.484,1.8994,2.4149,1.8994,2.4149
0.485,1.8956,2.4143,1.8956,2.4143
0.486,1.8918,2.4138,1.8918,2.4138
0.487,1.8881,2.4133,1.8881,2.4133
0.488,1.8843,2.4128,1.8843,2.4128
0.489,1.8805,2.4122,1.8805,2.4122
0.49,1.8768,2.4117,1.8768,2.4117
0.491,1.873,2.4111,1.873,2.4111
0.492,1.8693,2.4106,1.8693,2.4106
0.493,1.8656,2.4101,1.8656,2.4101
0.494,1.8618,2.4095,1.8618,2.4095
0.495,1.8581,2.409,1.8581,2.409
0.496,1.8544,2.4084,1.8544,2.4084
0.497,1.8507,2.4078,1.8507,2.4078
0.498,1.847,2.4073,1.847,2.4073
0.499,1.8433,2.4067,1.8433,2.4067
0.5,1.8397,2.4062,1.8397,2.4062
0.501,1.836,2.4056,1.836,2.4056
0.502,1.8323,2.405,1.8323,2.405
0.503,1.8287,2.4044,1.8287,2.4044
0.504,1.825,2.4039,1.825,2.4039
0.505,1.8214,2.4033,1.8214,2.4033
0.506,1.8177,2.4027,1.8177,2.4027
0.507,1.8141,2.4021,1.8141,2.4021
0.508,1.8105,2.4015,1.8105,2.4015
0.509,1.8069,2.4009,1.8069,2.4009
0.51,1.8032,2.4003,1.8032,2.4003
0.511,1.7996,2.3997,1.7996,2.3997
0.512,1.796,2.3991,1.796,2.3991
0.513,1.7925,2.3985,1.7925,2.3985
0.514,1.7889,2.3979,1.7889,2.3979
0.515,1.7853,2.3973,1.7853,2.3973
0.516,1.7817,2.3967,1.7817,2.3967
0.517,1.7782,2.3961,1.7782,2.3961
0.518,1.7746,2.3954,1.7746,2.3954
0.519,1.7711,2.3948,1.7711,2.3948
0.52,1.7675,2.3942,1.7675,2.3942
0.521,1.764,2.3936,1.764,2.3936
0.522,1.7605,2.3929,1.7605,2.3929
0.523,1.757,2.3923,1.757,2.3923
0.524,1.7535,2.3917,1.7535,2.3917
0.525,1.7499,2.391,1.7499,2.391
0.526,1.7464,2.3904,1.7464,2.3904
0.527,1.743,2.3897,1.743,2.3897
0.528,1.7395,2.3891,1.7395,2.3891
0.529,1.736,2.3884,1.736,2.3884
0.53,1.7325,2.3878,1.7325,2.3878
0.531,1.7291,2.3871,1.7291,2.3871
0.532,1.7256,2.3865,1.7256,2.3865
0.533,1.7222,2.3858,1.7222,2.3858
0.534,1.7187,2.3852,1.7187,2.3852
0.535,1.7153,2.3845,1.7153,2.3845
0.536,1.7119,2.3838,1.7119,2.3838
0.537,1.7084,2.3832,1.7084,2.3832
0.538,1.705,2.3825,1.705,2.3825
0.539,1.7016,2.3818,1.7016,2.3818
0.54,1.6982,2.3811,1.6982,2.3811
0.541,1.6948,2.3804,1.6948,2.3804
0.542,1.6914,2.3798,1.6914,2.3798
0.543,1.688,2.3791,1.688,2.3791
0.544,1.6847,2.3784,1.6847,2.3784
0.545,1.6813,2.3777,1.6813,2.3777
0.546,1.6779,2.377,1.6779,2.377
0.547,1.6746,2.3763,1.6746,2.3763
0.548,1.6712,2.3756,1.6712,2.3756
0.549,1.6679,2.3749,1.6679,2.3749
0.55,1.6646,2.3742,1.6646,2.3742
0.551,1.6612,2.3735,1.6612,2.3735
0.552,1.6579,2.3728,1.6579,2.3728
0.553,1.6546,2.372,1.6546,2.372
0.554,1.6513,2.3713,1.6513,2.3713
0.555,1.648,2.3706,1.648,2.3706
0.556,1.6447,2.3699,1.6447,2.3699
0.557,1.6414,2.3692,1.6414,2.3692
0.558,1.6381,2.3684,1.6381,2.3684
0.559,1.6348,2.3677,1.6348,2.3677
0.56,1.6316,2.367,1.6316,2.367
0.561,1.6283,2.3662,1.6283,2.3662
0.562,1.6251,2.3655,1.6251,2.3655
0.563,1.6218,2.3648,1.6218,2.3648
0.564,1.6186,2.364,1.6186,2.364
0.565,1.6153,2.3633,1.6153,2.3633
0.566,1.6121,2.3625,1.6121,2.3625
0.567,1.6089,2.3618,1.6089,2.3618
0.568,1.6056,2.361,1.6056,2.361
0.569,1.6024,2.3603,1.6024,2.3603
0.57,1.5992,2.3595,1.5992,2.3595
0.571,1.596,2.3588,1.596,2.3588
0.572,1.5928,2.358,1.5928,2.358
0.573,1.5897,2.3573,1.5897,2.3573
0.574,1.5865,2.3565,1.5865,2.3565
0.575,1.5833,2.3557,1.5833,2.3557
0.576,1.5801,2.3549,1.5801,2.3549
0.577,1.577,2.3542,1.577,2.3542
0.578,1.5738,2.3534,1.5738,2.3534
0.579,1.5707,2.3526,1.5707,2.3526
0.58,1.5675,2.3518,1.5675,2.3518
0.581,1.5644,2.3511,1.5644,2.3511
0.582,1.5613,2.3503,1.5613,2.3503
0.583,1.5581,2.3495,1.5581,2.3495
0.584,1.555,2.3487,1.555,2.3487
0.585,1.5519,2.3479,1.5519,2.3479
0.586,1.5488,2.3471,1.5488,2.3471
0.587,1.5457,2.3463,1.5457,2.3463
0.588,1.5426,2.3455,1.5426,2.3455
0.589,1.5395,2.3447,1.5395,2.3447
0.59,1.5365,2.3439,1.5365,2.3439
0.591,1.5334,2.3431,1.5334,2.3431
0.592,1.5303,2.3423,1.5303,2.3423
